Country,Year,Value
The People's Republic of China (PRC)(b),2015,1677163
The People's Republic of China (PRC)(b),2016,2124942
The People's Republic of China (PRC)(b),2017,2281666
The People's Republic of China (PRC)(b),2018,2944133
The People's Republic of China (PRC)(b),2019,3114257
South Korea,2000,0
South Korea,2001,66343
South Korea,2002,64301
South Korea,2003,46246
South Korea,2004,91270
South Korea,2005,158177
South Korea,2006,189464
South Korea,2007,224867
South Korea,2008,267461
South Korea,2009,227312
South Korea,2010,264052
South Korea,2011,263428
South Korea,2012,283977
South Korea,2013,274622
South Korea,2014,385769
South Korea,2015,421161
South Korea,2016,444439
South Korea,2017,484528
South Korea,2018,616783
South Korea,2019,673065
Saudi Arabia,2000,0
Saudi Arabia,2001,39957
Saudi Arabia,2002,45007
Saudi Arabia,2003,20077
Saudi Arabia,2004,39432
Saudi Arabia,2005,53682
Saudi Arabia,2006,67679
Saudi Arabia,2007,78298
Saudi Arabia,2008,74632
Saudi Arabia,2009,77082
Saudi Arabia,2010,86771
Saudi Arabia,2011,87693
Saudi Arabia,2012,102365
Saudi Arabia,2013,94986
Saudi Arabia,2014,113921
Saudi Arabia,2015,99754
Saudi Arabia,2016,123878
Saudi Arabia,2017,100549
Saudi Arabia,2018,112263
Saudi Arabia,2019,121444
Germany,2000,0
Germany,2001,70401
Germany,2002,54645
Germany,2003,41145
Germany,2004,53783
Germany,2005,59344
Germany,2006,66171
Germany,2007,78598
Germany,2008,111525
Germany,2009,128288
Germany,2010,130896
Germany,2011,124670
Germany,2012,131277
Germany,2013,136749
Germany,2014,158453
Germany,2015,144910
Germany,2016,130276
Germany,2017,109816
Germany,2018,128895
Germany,2019,130221
Other countries,2000,1127324
Other countries,2001,1050635
Other countries,2002,904683
Other countries,2003,812685
Other countries,2004,879448
Other countries,2005,750349
Other countries,2006,929689
Other countries,2007,1878020
Other countries,2008,1231073
Other countries,2009,776674
Other countries,2010,1400387
Other countries,2011,948331
Other countries,2012,929936
Other countries,2013,1039061
Other countries,2014,1194639
Other countries,2015,972043
Other countries,2016,764502
Other countries,2017,655792
Other countries,2018,295181
Other countries,2019,493440
